Name,Address,Contact
Avondale Centre For Early Development,171 Avondale AveWard: Willowdale,"Phone:Sheyda Manavi, 416-941-2121"
"Avondale Public School, Extended Day Program",171 Avondale Ave (Willowdale Ave & Sheppard Ave)Ward: Willowdale,Phone:416-394-2072 oremail:edp@tdsb.on.ca
B.F. Toronto Centre For Early Childhood Education,45 Golfdown Dr (Islington / Hwy. 401)Ward: Etobicoke North,"Phone:Kathleen Archer, 416-746-6542 ext 200"
Bais Yaakov Elementary School,15 Saranac BlvdWard: Eglinton-Lawrence,"Phone:Chava Miriam Neustadt, 416-783-6181 ext 182"
Balmy Beach Community Day Care Centre,"14 Pine Ave ,Room 107 (Kingston Rd. / Victoria Park)Ward: Beaches-East York","Phone:Christine Roberts, 416-698-5668"
Bannockburn School,3080 Bayview AveWard: Willowdale,"Phone:Isabella Foster, 416-789-7855 ext 307"
Banting And Best Child Care Centre (380 Goldhawk),"Every Child Belongs Resource Consultation Staff, Caley Drake, 416-438-3697, Ext. 14406, is available to help this centre and the family when a child has anextra supportneed.","Phone:Ellen Mok, 416-291-6163"
Banting And Best Schoolage Satellite(255 Alton Towers),"Every Child Belongs Resource Consultation Staff, Caley Drake, 416-438-3697, Ext. 14406, is available to help this centre and the family when a child has anextra supportneed.","Phone:Ellen Mok, 416-291-6163"
Baycrest Child Care Centre,50 Ameer AveWard: Eglinton-Lawrence,"Phone:Jasmine Livingstone, 416-784-1316"
Bayview Gardens Day Care Centre,3125 Bayview Ave (Bayview / Finch)Ward: Don Valley North,"Phone:Shuk Man Lo, 416-222-9405"
Bayview Glen,275 Duncan Mill Rd (Don Mills Rd/York Mills Rd)Ward: Don Valley East,"Phone:Gillian Potts-Hemingway, 416-443-1030 ext 287"
Beaches Montessori School Incorporated,950 Kingston RdWard: Beaches-East York,"Phone:Leigh Anne Jacques, 416-901-2992"
Beaches Montessori School South,995 Kingston RdWard: Beaches-East York,"Phone:Julie Mitchell, 416-986-7553"
Beach Hill Montessori,2032 Gerrard St EWard: Beaches-East York,"Phone:Pilar Fuertes Martinez, 647-228-0809"
Beamish Academy,3819 Bloor St W (Bloor St W / Kipling Ave)Ward: Etobicoke-Lakeshore,"Phone:Deborah Andrade, 416-233-5437"
Beatty Buddies Daycare,55 Woodington Ave (Danforth / Coxwell)Ward: Beaches-East York,"Phone:Lisa Winters, 416-570-8687"
Beechgrove Sunshine Child Care,"4679 Kingston Rd ,Unite 8 & 9Ward: Scarborough-Rouge Park","Phone:Danielle Rampulla, 416-284-6523"
Bendale Licensed Before And After School Program,61 Benshire DrWard: Scarborough-Guildwood,"Phone:Sanaa Maher, 416-281-0262 ext 230"
Bennington Heights Child Care Centre,76 Bennington Heights Dr (Bayview / Moore)Ward: Don Valley West,"Phone:Sarah Ptak, 416-423-6522"
Berner Trail Early Learning & Child Care Centre,"Every Child Belongs Resource Consultation Staff, Deepa Singh, 416-438-3697, Ext. 14290, is available to help this centre and the family when a child has anextra supportneed.","Phone:Jennifer Connolly, 416-392-6273"
"Berner Trail Junior Public School, Extended Day Program",nan,Phone:416-394-2072 oremail:edp@tdsb.on.ca
Bessborough Child Care Centre,211 Bessborough Dr (Bayview / Eglinton)Ward: Don Valley West,"Phone:Jodi Kageyama, 416-467-0389"
Beth Sholom First Foundations Community Preschool,1445 Eglinton Ave WWard: Toronto-St. Paul's,"Phone:Adriana Signoroni, 416-432-2561"
Beverly Glen YMCA,85 Beverly Glen BlvdWard: Scarborough-Agincourt,"Phone:Maryam Sabri, 647-438-6689"
Big Bears Daycare,"51 Durnford Rd ,2nd Floor (Sheppard / Kingston Rd.)Ward: Scarborough-Rouge Park","Phone:Syeda Khatun, 416-778-8860"
Big Dreams Early Learning Centre,1703 Victoria Park Ave (Victoria Park Ave/Lawrence.)Ward: Scarborough Centre,"Phone:Melissa Ireland, 416-757-8040"
Birch Cliff Heights Licensed Before And After School Program,120 Highview AveWard: Scarborough Southwest,"Phone:Sanaa Maher, 416-281-0262 ext 230"
"Birch Cliff Public School, Extended Day Program",1650 Kingston Rd (Birchmount & Danforth)Ward: Scarborough Southwest,Phone:416-394-2072 oremail:edp@tdsb.on.ca
Birchmount Bluffs Neighbourhood Centre Community Nursery School,93 Birchmount Rd (Birchmount / Danforth Ave.)Ward: Scarborough Southwest,"Phone:Asiya Motala, 416-396-4315"
Birchmount Place Centre For Early Learning,2360 Birchmount Rd (Birchmount / Sheppard E.)Ward: Scarborough-Agincourt,"Phone:Kiana Cummings, 416-291-0304 ext 221"
Birds And Bees Day Care Centre,720 Kennedy Rd (Kennedy / Eglinton)Ward: Scarborough Southwest,"Phone:Brenda Tripp, 416-261-5741"
Blacksmith Child Care Centre,45 Blacksmith Cres (Jane / Steeles)Ward: Humber River-Black Creek,"Phone:Harjit Bansal, 416-665-3839"
Blake Street Early Learning & Child Care Centre,84 Blake St (Jones / Danforth)Ward: Toronto-Danforth,"Phone:Aryana Nawabi, 416-392-5055"
"Blake Street Junior Public School, Extended Day Program",21 Boultbee Ave (Jones / Gerrard)Ward: Toronto-Danforth,Phone:416-394-2072 oremail:edp@tdsb.on.ca
Blaydon Community Day Care Centre,25 Blaydon Ave (Keele / Wilson)Ward: York Centre,"Phone:Anna Care, 416-638-1461"
Blessed Pier Giorgio Frassati Extended Day Program,8 Seasons Dr (Markham Rd/ Steeles Ave E)Ward: Scarborough North,"Phone:Nalini Jeewaraja, 416-396-5757"
Blessed Trinity Before & After School,3205 Bayview Ave (Bayview / Finch)Ward: Don Valley North,"Phone:Margaret Udo, 416-226-3336"
Bloomsbury Academy,29 Dalhousie StWard: Toronto Centre,"Phone:Tara Silver, 416-303-8263"
Bloorcourt Village Early Learning Centre,823 Dovercourt Rd (Bloor W. / Dovercourt)Ward: Davenport,"Phone:Sabina Jaunbocus, 416-536-0574"
Bloor West Nursery School,432 Runnymede Rd (Runnymede / Annette St.)Ward: Parkdale-High Park,"Phone:Laura Grimaldi, 416-767-6729 ext 103"
Blossoming Minds Learning Centre Inc.,1530 Danforth AveWard: Toronto-Danforth,"Phone:Krista Dahlgren, 416-546-9830"
Blue Bell Academy,2189 Gerrard St E (Main St/ Gerrard St)Ward: Beaches-East York,"Phone:Evelyn Bell, 416-550-4442"
Blue Bell Academy Inc,1415 Gerrard St EWard: Toronto-Danforth,"Phone:Evelyn Bell, 416-550-4442"
Blue Bell Academy Inc.,"2191 Gerrard St E ,1a (Gerrard St E / Main St)Ward: Beaches-East York","Phone:Evelyn Bell, 416-550-4442"
Bluebird Montessori School (Mini),"905 Broadview Ave ,AWard: Toronto-Danforth","Phone:Ingrid Siguenza, 416-406-4066"
Bluebird Montessori School South,515 Broadview AveWard: Toronto-Danforth,"Phone:Unnita Chatterjee, 416-606-3398"
Blue Butterfly Montessori School Inc.,"300 Richmond St W ,100 (Richmond W./ John St.)Ward: Spadina-Fort York","Phone:Maryam Doaei, 416-479-0202"
Blue Wave Child Care Centre,50 Duncairn Rd (Lawrence / Don Mills)Ward: Don Valley East,"Phone:Sarita Singh, 416-445-0602"
Bluffer's Park Montessori School,2857 Kingston Rd (Kingston Rd / St. Clair Ave. E)Ward: Scarborough Southwest,"Phone:Mary Kapetanos, 647-340-9099"
Boardwalk Montessori School Inc.,"1975 Queen St E ,A (Queen/Woodbine)Ward: Beaches-East York","Phone:Joan Walder, 416-691-6740"
Bonaventure Child Care Centre,295 Dufferin St (Dufferin / King St. W.)Ward: Spadina-Fort York,"Phone:Tiffany Christophe, 416-588-4318"
Boulton Avenue Child Care Centre,131 Broadview Ave (Broadview / Queen)Ward: Toronto-Danforth,"Phone:Paula Smith, 416-463-7625"
Bowmore,80 Bowmore Rd (Gerrard / Coxwell)Ward: Beaches-East York,"Phone:Ada Antidormi, 416-465-6678"
"Bowmore Road Junior And Senior Public School, Extended Day Program",80 Bowmore Rd (Gerrard / Coxwell)Ward: Beaches-East York,Phone:416-394-2072 oremail:edp@tdsb.on.ca
Braeburn Woods Day Care Centre,15 Tandridge Cres (Albion / Weston Rd)Ward: Etobicoke North,"Phone:Karen Leroux, 416-745-9472"
Brahms Early Learning & Child Care Centre,5 Brahms Ave (Don Mills / Finch)Ward: Don Valley North,"Phone:Maryam Azizi, 416-392-6262"
Branson Pre-School Ltd.,4866 Bathurst St (Bathurst / Finch)Ward: York Centre,"Phone:Rajani Mathieswaran, 416-635-6580"
Brian's Petit Amis,95 Brian Dr (Brian / Sheppard)Ward: Don Valley North,"Phone:Vicki Rout, 416-491-1231"
Brian Drive School Age Program (YMCA),95 Brian Dr (Victoria Park / Sheppard)Ward: Don Valley North,"Phone:Ann-Marie Sawyer, 416-493-3008"
Briarcrest Child Care,60 Wellesworth Dr (Rathburn / Renforth)Ward: Etobicoke Centre,"Phone:Rupinder Sidhu, 416-620-9914"
Bridlegrove Daycare Centre,2575 Pharmacy Ave (Pharmacy / Finch)Ward: Scarborough-Agincourt,"Phone:Illuminata Paiva, 416-497-7667"
Bridlewood Jr YMCA,60 Bridlewood Blvd (Huntingwood / Warden)Ward: Scarborough-Agincourt,"Phone:Eleni Costa, 416-492-3364"
Bright Minds Childcare & Montessori School,"1450 O Connor Dr ,Building #2, Unit 110 (O'Connor Dr. / Bermondsey)Ward: Beaches-East York","Phone:Nadira Shameem, 416-755-0002"
Brightpath Academy - Davisville Village,1432 Bayview Ave (Bayview Ave/Davisville Ave)Ward: Don Valley West,"Phone:Brianne Leitch, 647-349-2229"
Brightpath Academy - Forest Hill,5 Glen Park AveWard: Eglinton-Lawrence,"Phone:Kaitlyn Herman, 647-547-2120"
Brightpath Academy - Leaside,235 McRae Dr (Laird/Eglinton)Ward: Don Valley West,"Phone:Laile Esguerra, 647-340-3688"
Brightpath Academy - The Beach,"1925 Queen St E ,1923Ward: Beaches-East York","Phone:Dorie Heffron, 416-640-9625"
Brightpath Academy - The Beach Clubzone,"1921 Queen St E ,1919Ward: Beaches-East York","Phone:Dorie Heffron, 416-640-9625"
Brightpath Academy - Wanless Park (18),18 Melrose Ave (Yonge / Lawrence E.)Ward: Eglinton-Lawrence,"Phone:Jennifer Halliwell, 416-485-5437"
Brightpath Academy - Wanless Park (20),20 Melrose Ave (Yonge / Lawrence E.)Ward: Eglinton-Lawrence,"Phone:Jennifer Halliwell, 416-485-5437"
Brightpath Eglinton,"5535 Eglinton Ave W ,200 (Eglinton Ave/Centennial Park)Ward: Etobicoke Centre","Phone:Shannon Rebelo, 416-742-3535"
Brightpath Leslieville,"970 Queen St E ,2nd Floor (Carlaw Ave / Queen St E)Ward: Toronto-Danforth","Phone:Sarah Martin, 416-477-0857"
Brimley Bloom Montessori,614 Brimley RdWard: Scarborough Centre,"Phone:Monina Navarrete, 647-766-5769"
Brimwood School Age YMCA,151 Brimwood Blvd (Brimley / Finch)Ward: Scarborough North,"Phone:Amy Chang, 416-293-7326"
"Broadacres Junior School, Extended Day Program",45 Crendon Dr (Renforth / Burnhamthorpe)Ward: Etobicoke Centre,Phone:416-394-2072 oremail:edp@tdsb.on.ca
Broadlands School Age Program YMCA,106 Broadlands Blvd (Victoria Park / Lawrence)Ward: Don Valley East,"Phone:Eleni Costa, 416-492-3364"
Broad View French Montessori School,903 Pape AveWard: Toronto-Danforth,"Phone:Michelle Altmid, 416-467-1618"
Broad View French Montessori School II Limited,1236 Kingston Rd (Kingston Rd. / Fallingbrook)Ward: Scarborough Southwest,"Phone:Latife Emin, 416-690-9305"
Brock Early Learning Centre,93 Margueretta St (College / Dufferin)Ward: Davenport,"Phone:Claudia Gardiman, 416-535-3491"
Brookhaven Child Care,70 Brookhaven Dr (Black Creek / Lawrence W.)Ward: York South-Weston,"Phone:Marisa Manduca, 416-249-6587"
Brookhaven Child Care -  St. Bernard Site,12 Duckworth St (Jane & Lawrence)Ward: York South-Weston,"Phone:Marisa Manduca, 416-249-6587"
"Brookmill Boulevard Junior Public School, Extended Day Program",25 Brookmill Blvd (Warden Ave & Finch Ave E)Ward: Scarborough-Agincourt,Phone:416-394-2072 oremail:edp@tdsb.on.ca
Brookside Child Care Centre,75 Oasis Blvd (Tapscott Rd. / Passmore Ave.)Ward: Scarborough North,"Phone:Nalini Jeewaraja, 416-396-5757"
Bruce Woodgreen Early Learning Centre,51 Larchmount Ave (Pape / Queen)Ward: Toronto-Danforth,"Phone:Jessica Wong, 416-645-6000 ext 1158"
Buchanan Extended Day & School Age Program,4 Bucannan Rd (Warden Ave / Lawrence Ave E)Ward: Scarborough Centre,"Phone:Mary Gatti, 647-669-6201"
Buds And Blossoms,"517 Parliament St ,2Ward: Toronto Centre","Phone:Sarah Feng, 416-655-0695"
Bumble Bee Academy,"668 Kingston Rd ,Unit 1Ward: Beaches-East York","Phone:Shawna Titus, 416-690-2221"
Bumble Bee Academy,"1560 Queen St E ,101, 102, 201Ward: Toronto-Danforth","Phone:Krista Campbell-Merriam, 416-462-0106"
Bumble Bee Garden Child Care Ltd.,1275 Dundas St WWard: Davenport,"Phone:Zafira Karmali, 416-532-0275"
C.A.S.P. Catholic After School Program,53 Gracefield Ave (Lawrence Ave. W. / Keele)Ward: York South-Weston,"Phone:Jennifer Tulloch-Lewin, 416-707-0558"
C.D.Farquharson Jr YMCA,1965 Brimley Rd (Brimley / Pitfield)Ward: Scarborough North,"Phone:Jameelah Cayenne, 647-438-7124"
Calico Saints Child Care Centre,35 Calico Dr (Sheppard W. / Jane)Ward: York Centre,"Phone:Robert Gordon, 416-741-8499"
Cambridge Leaf Montessori School,"3875 McNicoll Ave ,100-103 (Markham Rd / McNicoll Ave)Ward: Scarborough North","Phone:Nighat Shaheen, 416-771-6695"
Cambridge Place Centre For Early Learning,30 Denton Ave (Victoria Park / Danforth Ave.)Ward: Scarborough Southwest,"Phone:Niroshanki Nallathamby, 416-699-9636 ext 221"
Campus Community Co-Operative Day Care,370 Huron St (Bloor / St. George)Ward: University-Rosedale,"Phone:Cathy Stevenson, 416-946-0875"
Canadiana Court Early Learning & Child Care Centre,"Every Child Belongs Resource Consultation Staff, Latoya Waldron, 416-397-7973, is available to help this centre and the family when a child has anextra supportneed.","Phone:Isaiah Noel, 416-392-5698"
Candy Factory Swallows Day Care (The),1411 Bloor St W (Bloor W. / Symington)Ward: Davenport,"Phone:Blair Spence, 416-537-4154"
Cardinal Leger Child Care Centre (Scarborough),600 Morrish Rd (Ellesmere / Morningside)Ward: Scarborough-Rouge Park,"Phone:Tanya Zundel, 416-287-0578"
Carefree Preschool,370 Dixon Rd (Dixon / Kipling)Ward: Etobicoke North,"Phone:Emily Persaud, 416-244-5529"
Carleton Village Early Learning Centre,315 Osler St (Davenport / Symington)Ward: Davenport,"Phone:Sara Martins, 416-651-2550"
Carmelite Missionary Sisters Of Saint Theresa Of The Child Jesus,1196 Wilson Ave (Keele / Wilson)Ward: York Centre,"Phone:Sr. Suzana Tairo, 416-636-6123"
Carousel Child Care Development Centre,"623 Finch Ave W ,101 (Finch W. / Wilmington)Ward: York Centre","Phone:Bella Abramovich, 416-636-0614"
Casa Del Zotto Children's Centre,3010 Dufferin St (Dufferin / Lawrence)Ward: Eglinton-Lawrence,"Phone:Bosompemaa Apea-Dankwa, 416-819-2186"
Casa Vera Montessori School,2000 Keele St (Keele St. / Gulliver Rd.)Ward: York South-Weston,"Phone:Viera Scurova, 416-850-9705"
Cast For Kids Child Care Centre,1430 Sheppard Ave W (Sheppard W. / Keele)Ward: York Centre,"Phone:Anna Maria Storto, 416-638-4487"
Castlebar YMCA,70 Chartwell Rd (Islington Ave / Ambleside Ave)Ward: Etobicoke-Lakeshore,"Phone:Monica Buslon, 416-917-8900"
Castle Park Playschool,"1971 Queen St E ,Unit 102, 103 (Queen E / Woodbine)Ward: Beaches-East York","Phone:Ella Dembeck, 647-501-6751"
Caterpillar & Co,55 Chauncey Ave (Kipling/Norseman)Ward: Etobicoke-Lakeshore,"Phone:Sally Petrie, 416-239-2888"
Cedarbrae Day Nurseries (20 Greencrest),"Every Child Belongs Resource Consultation Staff, Sandra Lauder, 416-392-6085, is available to help this centre and the family when a child has anextra supportneed.","Phone:Tracy Rushton, 416-431-2504"
Cedarbrae Day Nursery,1385 Midland Ave (Midland / Lawrence E.)Ward: Scarborough Centre,"Phone:Joanne Bavaro, 416-751-0664"
Cedarbrae Day Nursery (1375 Midland),1375 Midland Ave (Midland / Lawrence E.)Ward: Scarborough Centre,"Phone:Emily Emanuel, 416-751-2358"
"Cedarvale Community School, Extended Day Program",145 Ava Rd (Glen Cedar Road / Ava Road)Ward: Toronto-St. Paul's,Phone:416-394-2072 oremail:edp@tdsb.on.ca
Centenary Seven Oaks  Early Learning & Child Care Centre,9 Neilson Rd (Ellesmere / Neilson Rd.)Ward: Scarborough-Guildwood,"Phone:Susan Hill, 416-392-4750"
Centennial College Early Childhood Education Centre(550 Mortimer),550 Mortimer Ave (Mortimer / Coxwell)Ward: Toronto-Danforth,"Phone:Rick Nankissoor, 416-289-5065"
Centennial College East York Day Care (Plains Rd),175 Plains Rd (Coxwell / O'Connor)Ward: Toronto-Danforth,"Phone:Rick Nankissoor, 416-289-5065"
Centennial College Progress Campus Child Care Centre,941 Progress Ave (Markham / Hwy. 401)Ward: Scarborough-Guildwood,"Phone:Janet Burchert, 416-289-5065"
Centennial Infant And Child Centre,1580 Yonge St (Yonge / St. Clair)Ward: Toronto-St. Paul's,"Phone:Racquel Manzano, 416-935-0200 ext 261"
Central Eglinton Childrens' Centre,223 Eglinton Ave E (Eglinton / Mt. Pleasant)Ward: Toronto-St. Paul's,"Phone:Kristen Dubois, 416-440-0383"
Central Montessori School,180 Sheppard Ave E (Yonge St/ Sheppard Ave E)Ward: Willowdale,"Phone:Nabila Affonso Sieglett, 416-221-3289"
Central Montessori Schools - Maplehurst Campus,181 Maplehurst Ave (Sheppard Ave E/Willowdale Ave)Ward: Willowdale,"Phone:Pravita Lakhani, 416-222-9207"
Central Montessori Schools - Willowdale Campus,157 Willowdale Ave (Willowdale Ave. / Sheppard E.)Ward: Willowdale,"Phone:Danyu Echo Lou, 416-250-1022"
Central Montessori Schools - York Mills Campus,18 Coldwater Rd (Leslie / York Mills)Ward: Don Valley East,"Phone:Ahmed Ayesha, 416-510-1200"
Centre De La Petite Enfance - Les Amis Du Monde,55 Pelham Ave (Dundas/Dupont)Ward: Davenport,"Phone:Regine Epolo-Mayela, 416-410-2232"
Centro Clinton Day Care Centre,460 Manning Ave (College / Bathurst)Ward: University-Rosedale,"Phone:Maria Azevedo, 416-537-5841"
